City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
samarai,88,PG,1554672709,100,-10.62,150.67,76.48,1.95
nizhniy kuranakh,80,RU,1554672709,81,58.84,125.49,21.31,2.39
lowestoft,8,GB,1554672636,100,52.48,1.75,48.99,3.36
belyy yar,0,RU,1554670800,58,53.6,91.39,28.4,11.18
thompson,90,CA,1554667200,45,55.74,-97.86,24.8,12.75
gacko,75,BA,1554670800,93,43.17,18.53,53.6,5.82
springbok,0,ZA,1554672710,92,-29.67,17.88,50.11,5.19
mossendjo,88,CG,1554672710,95,-2.95,12.72,70.36,2.17
lata,24,IN,1554672532,79,30.78,78.62,45.25,2.51
el rusio,12,HN,1554672711,45,14.47,-86.37,83.77,4.74
hobyo,0,SO,1554672711,91,5.35,48.53,76.93,7.2
yerofey pavlovich,0,RU,1554672711,55,53.97,121.97,22.21,4.97
barraute,75,CA,1554670800,34,48.43,-77.63,35.6,8.05
esperance,20,TT,1554672308,55,10.24,-61.45,86.0,12.75
preston,12,GB,1554672598,76,53.76,-2.71,53.6,8.05
syracuse,1,US,1554672694,55,43.05,-76.15,66.99,3.36
ancud,40,CL,1554670800,72,-41.87,-73.83,66.2,8.05
nador,56,MA,1554670800,67,35.17,-2.93,60.8,3.36
mbaiki,44,CF,1554672713,82,3.87,17.99,76.21,3.18
tavda,24,RU,1554672713,75,58.04,65.27,28.06,4.63
nizhniy tsasuchey,20,RU,1554672714,68,50.52,115.13,15.91,3.29
pacific grove,1,US,1554672551,59,36.62,-121.92,78.01,5.82
caconda,44,AO,1554672714,95,-13.73,15.06,60.73,2.73
nioaque,20,BR,1554672714,76,-21.16,-55.83,75.49,4.74
coria,92,ES,1554667565,95,39.98,-6.54,53.01,2.62
kenai,90,US,1554672459,49,60.55,-151.26,51.01,10.29
dingle,44,PH,1554672715,90,11.0,122.67,76.57,10.22
namibe,0,AO,1554672715,100,-15.19,12.15,77.02,7.76
fortuna,20,ES,1554672711,45,38.18,-1.13,62.6,6.93
tarnobrzeg,0,PL,1554672678,93,50.57,21.68,48.99,1.12
saint-augustin,0,FR,1554672448,87,44.83,-0.61,50.0,2.24
swindon,90,GB,1554672664,100,51.56,-1.79,52.0,2.95
pevek,36,RU,1554672716,100,69.7,170.27,-0.3,5.86
aykhal,64,RU,1554672716,77,65.95,111.51,16.09,4.07
buala,48,SB,1554672716,100,-8.15,159.59,79.09,2.39
los llanos de aridane,75,ES,1554672626,72,28.66,-17.92,64.4,2.24
kavieng,80,PG,1554672617,100,-2.57,150.8,79.81,5.97
singaraja,24,ID,1554672717,100,-8.11,115.08,71.35,0.6
mayo,90,CA,1554670980,80,63.59,-135.9,33.8,8.05
riohacha,32,CO,1554672584,70,11.54,-72.91,86.47,12.46
khovu-aksy,24,RU,1554672718,66,51.13,93.72,17.44,4.41
leh,80,IN,1554672718,87,34.16,77.58,9.25,1.05
hunchun,12,CN,1554672718,51,42.86,130.36,35.53,6.53
thinadhoo,12,MV,1554672526,100,0.53,72.93,83.86,1.28
poum,92,MK,1554672650,96,41.28,20.71,46.69,1.28
businga,56,CD,1554672719,76,3.34,20.89,78.55,4.85
velykoploske,0,UA,1554672289,50,47.02,29.68,53.01,4.7
geraldton,90,CA,1554670800,77,49.72,-86.95,32.0,23.04
sauk rapids,90,US,1554672537,87,45.59,-94.17,60.8,13.87
faya,0,SA,1554670800,51,18.39,42.45,64.4,2.51
eenhana,32,NA,1554670800,32,-17.48,16.34,84.2,9.17
taitung,36,TW,1554672512,100,22.76,121.15,68.38,7.43
dwarka,75,IN,1554672608,53,28.58,77.04,84.99,4.7
khuzhir,24,RU,1554672720,76,53.19,107.35,14.56,4.97
teguldet,24,RU,1554672721,89,57.31,88.17,21.76,4.74
skibbereen,75,IE,1554670800,93,51.55,-9.27,46.4,12.75
potosi,88,BO,1554672534,37,-19.59,-65.75,54.25,3.51
bilibino,0,RU,1554672722,75,68.06,166.44,10.69,2.39
mandurah,0,AU,1554672686,76,-32.55,115.7,59.0,8.05
biankouma,56,CI,1554672722,94,7.74,-7.61,72.61,2.95
urambo,80,TZ,1554672722,42,-5.07,32.07,78.64,3.62
saint george,75,GR,1554672209,71,39.45,22.34,59.0,5.82
broken hill,0,AU,1554670800,58,-31.97,141.45,57.2,3.4
voznesenye,0,RU,1554672723,69,61.02,35.48,25.45,4.74
hamilton,75,BM,1554671768,83,32.3,-64.78,71.6,6.93
scarborough,0,GB,1554672722,93,54.28,-0.41,46.99,10.29
bima,0,ID,1554672724,100,-8.45,118.73,73.78,3.62
kununurra,44,AU,1554670800,88,-15.77,128.74,78.8,3.36
artigas,0,BR,1554672724,64,-30.4,-56.46,73.51,6.64
cooma,0,AU,1554670800,76,-36.24,149.13,48.2,4.7
galle,90,US,1554672724,68,29.74,-97.91,73.99,12.75
dawei,8,MM,1554672725,95,14.07,98.19,74.68,2.17
khandyga,12,RU,1554672725,79,62.65,135.58,15.1,2.51
south venice,1,US,1554672715,74,27.05,-82.42,89.01,6.93
kuytun,24,RU,1554672726,73,54.34,101.51,26.26,5.41
quimperle,20,FR,1554672689,93,47.87,-3.55,46.99,3.36
veraval,56,FR,1554672702,81,49.65,0.71,50.0,4.7
minna,36,NG,1554672727,70,9.62,6.55,80.26,1.5
aljezur,88,PT,1554672719,92,37.31,-8.8,60.01,15.7
sabang,0,PH,1554672542,96,13.72,123.58,75.76,5.19
sao joao da barra,0,BR,1554670800,74,-21.64,-41.05,82.4,16.11
tezu,100,IN,1554672727,69,27.93,96.16,57.76,1.95
omaha,40,US,1554672482,53,41.26,-95.94,73.4,12.75
ponta do sol,92,BR,1554672535,93,-20.63,-46.0,69.46,2.62
zaraza,36,VE,1554672728,43,9.35,-65.33,89.8,13.58
la grande,90,US,1554672716,87,45.32,-118.09,61.0,4.7
abha,0,SA,1554670800,51,18.22,42.5,64.4,3.4
ternate,75,PH,1554672719,74,14.29,120.72,82.4,4.7
udachnyy,8,RU,1554672729,77,66.42,112.4,17.8,4.63
gonbad-e qabus,90,IR,1554670800,100,37.25,55.17,55.4,6.93
honiara,76,SB,1554672729,98,-9.43,159.96,76.84,2.51
burns lake,76,CA,1554672730,47,54.23,-125.76,43.9,7.65
nanzhang,0,CN,1554672730,71,31.78,111.84,59.65,3.4
ukiah,75,US,1554672610,63,39.15,-123.21,66.99,9.17
port elizabeth,1,US,1554672718,52,39.31,-74.98,72.0,11.41
port lincoln,92,AU,1554672628,96,-34.72,135.86,63.79,16.82
vardo,75,US,1554672726,56,39.62,-77.74,70.0,16.11
isangel,0,VU,1554672707,100,-19.55,169.27,77.29,10.11
bouafle,75,FR,1554672725,71,48.96,1.9,53.6,3.36
honningsvag,75,NO,1554670200,68,70.98,25.97,28.4,10.29
yarensk,92,RU,1554672732,99,62.17,49.09,34.9,4.07
dalby,0,AU,1554672035,100,-27.18,151.26,64.99,8.05
pisco,0,PE,1554670800,30,-13.71,-76.2,71.6,6.93
boulder,1,US,1554672607,15,40.02,-105.27,73.4,16.11
codrington,40,AU,1554672463,100,-28.95,153.24,66.99,8.05
prince george,1,CA,1554672318,49,53.92,-122.75,54.0,10.29
kondoa,0,TZ,1554672733,61,-4.91,35.78,69.73,9.33
bahia honda,36,CU,1554672734,62,22.9,-83.16,83.5,2.95
abapo,0,BO,1554672734,59,-18.83,-63.47,70.18,2.39
sol-iletsk,56,RU,1554672734,70,51.16,55.0,44.17,8.43
nome,1,US,1554672693,93,30.04,-94.42,66.2,8.05
kabanjahe,44,ID,1554672734,100,3.1,98.49,66.85,1.39
wodonga,0,AU,1554672675,87,-36.12,146.89,55.0,2.73
kapustin yar,76,RU,1554672735,99,48.58,45.77,50.2,6.98
romny,56,UA,1554672735,60,50.74,33.49,51.46,12.68
wukari,48,NG,1554672735,82,7.87,9.78,80.26,5.97
ilulissat,24,GL,1554672736,83,69.22,-51.1,32.38,3.74
west helena,92,US,1554672692,93,34.55,-90.64,69.01,11.68
hambantota,0,LK,1554671400,100,6.12,81.12,78.8,3.36
beringovskiy,36,RU,1554672736,92,63.05,179.32,10.33,25.88
acapulco,75,MX,1554670200,78,16.86,-99.88,80.6,10.29
la ronge,90,CA,1554670800,86,55.1,-105.3,28.4,11.41
the valley,20,AI,1554671728,65,18.22,-63.06,81.0,13.87
suez,88,EG,1554672737,86,29.97,32.54,62.98,2.95
cockburn town,0,TC,1554672612,97,21.46,-71.14,79.09,16.37
nurota,100,UZ,1554669000,77,40.56,65.69,62.6,6.93
jardim,0,BR,1554672738,58,-21.48,-56.15,74.41,7.76
dunedin,0,NZ,1554672626,70,-45.87,170.5,57.0,17.0
black river,20,JM,1554672716,70,18.03,-77.85,84.2,23.04
thanh hoa,20,VN,1554670800,94,10.21,106.33,77.0,4.41
byron bay,12,AU,1554672616,88,-28.65,153.62,73.99,3.36
hulan ergi,0,CN,1554672739,70,47.2,123.63,29.23,10.22
bonavista,56,CA,1554671778,84,48.65,-53.11,33.01,8.01
yar-sale,24,RU,1554672739,85,66.83,70.83,23.02,11.68
back mountain,40,US,1554672735,45,41.34,-76.0,68.0,4.7
turiacu,76,BR,1554672740,82,-5.01,-63.0,83.5,3.06
lindi,32,TZ,1554672740,93,-10.0,39.71,73.96,3.74
parati,75,BR,1554670800,83,-20.51,-54.63,71.6,6.93
antequera,80,PY,1554672741,76,-24.09,-57.2,73.69,5.64
chinandega,0,NI,1554672532,37,12.63,-87.13,94.48,8.55
manbij,40,SY,1554670200,81,36.53,37.96,54.0,3.36
moose factory,20,CA,1554670800,56,51.26,-80.61,15.8,14.99
sainte-anne-des-monts,48,CA,1554672742,100,49.13,-66.49,24.01,17.49
camacha,20,PT,1554670800,63,33.08,-16.33,62.6,12.75
progreso,0,UY,1554672650,68,-34.68,-56.22,68.0,4.7
glubczyce,0,PL,1554672484,81,50.2,17.83,50.0,3.4
santana do mundau,75,BR,1554670800,83,-9.17,-36.22,78.8,6.93
shirokiy,56,RU,1554672610,70,53.87,39.17,34.0,2.95
petropavlovsk-kamchatskiy,40,RU,1554670800,64,53.05,158.65,33.8,8.95
half moon bay,75,US,1554672633,72,37.46,-122.43,75.99,6.93
aleksandrovskoye,0,RU,1554672683,74,56.74,85.39,33.01,6.71
togur,0,RU,1554672744,78,58.36,82.83,21.58,7.99
bathsheba,75,BB,1554670800,65,13.22,-59.52,80.6,19.46
halifax,40,CA,1554672365,45,44.65,-63.58,51.01,20.8
abu samrah,92,SY,1554672744,90,35.3,37.18,57.04,3.62
chuy,0,UY,1554672744,83,-33.69,-53.46,69.19,3.74
aksu,0,KZ,1554670800,85,52.04,76.93,23.0,6.71
maniitsoq,92,GL,1554672745,93,65.42,-52.9,31.57,1.16
bloomsburg,40,US,1554672717,45,41.0,-76.45,69.01,4.7
loganville,40,US,1554672745,54,33.84,-83.9,80.6,3.36
ambilobe,48,MG,1554672746,79,-13.19,49.05,78.1,5.97
koslan,44,RU,1554672746,78,63.46,48.9,25.45,2.39
pangnirtung,90,CA,1554667200,63,66.15,-65.72,26.6,6.93
mehamn,75,NO,1554670200,58,71.03,27.85,28.4,14.99
richards bay,56,ZA,1554672528,96,-28.77,32.06,64.78,2.62
mackay,75,CA,1554670800,23,53.65,-115.58,53.6,12.75
hirara,0,JP,1554672690,99,24.8,125.28,75.67,2.39
lorengau,92,PG,1554672747,100,-2.02,147.27,80.17,3.62
bundaberg,8,AU,1554672616,82,-24.87,152.35,72.0,8.05
olinda,75,EC,1554672657,58,-2.03,-79.75,91.99,3.36
nijar,0,ES,1554672731,67,36.97,-2.21,63.0,11.41
tura,24,IN,1554672710,94,25.52,90.21,63.79,5.53
shepsi,24,RU,1554672748,81,44.04,39.15,55.6,7.87
omboue,56,GA,1554672748,100,-1.57,9.26,83.86,5.41
linxia,8,CN,1554672748,87,35.6,103.21,32.11,2.84
shache,32,CN,1554672623,69,38.42,77.24,44.26,1.61
yerbogachen,76,RU,1554672749,74,61.28,108.01,27.43,6.42
zaraysk,24,RU,1554672728,70,54.76,38.88,30.0,8.01
